day,Cumulative_None,Cumulative_Infected,Cumulative_Quarantined,Cumulative_Recovered
0,440,60,0,0
1,316,102,82,0
2,191,139,170,0
3,89,147,264,0
4,39,114,347,0
5,12,90,398,0
6,6,58,436,0
7,2,43,455,0
8,2,29,469,0
9,2,15,401,82
10,2,6,325,167
11,2,9,234,255
12,2,6,158,334
13,2,5,111,382
14,2,4,75,419
15,2,1,60,437
16,2,1,46,451
17,2,0,34,464
18,2,0,22,476
19,2,0,19,479
20,2,0,12,486
21,2,0,8,490
22,2,0,6,492
23,2,0,2,496
24,2,0,2,496
25,2,0,0,498
26,2,0,0,498
27,2,0,0,498
28,2,0,0,498
29,2,0,0,498
30,2,0,0,498
31,2,0,0,498
32,2,0,0,498
33,2,0,0,498
34,2,0,0,498
35,2,0,0,498
36,2,0,0,498
37,2,0,0,498
38,2,0,0,498
39,2,0,0,498
40,2,0,0,498
41,2,0,0,498
42,2,0,0,498
43,2,0,0,498
44,2,0,0,498
45,2,0,0,498
46,2,0,0,498
47,2,0,0,498
48,2,0,0,498
49,2,0,0,498
50,2,0,0,498
51,2,0,0,498
52,2,0,0,498
53,2,0,0,498
54,2,0,0,498
55,2,0,0,498
56,2,0,0,498
57,2,0,0,498
58,2,0,0,498
59,2,0,0,498
60,2,0,0,498
61,2,0,0,498
62,2,0,0,498
63,2,0,0,498
64,2,0,0,498
65,2,0,0,498
66,2,0,0,498
67,2,0,0,498
68,2,0,0,498
69,2,0,0,498
70,2,0,0,498
71,2,0,0,498
72,2,0,0,498
73,2,0,0,498
74,2,0,0,498
75,2,0,0,498
76,2,0,0,498
77,2,0,0,498
78,2,0,0,498
79,2,0,0,498
80,2,0,0,498
81,2,0,0,498
82,2,0,0,498
83,2,0,0,498
84,2,0,0,498
85,2,0,0,498
86,2,0,0,498
87,2,0,0,498
88,2,0,0,498
89,2,0,0,498
90,2,0,0,498
91,2,0,0,498
92,2,0,0,498
93,2,0,0,498
94,2,0,0,498
95,2,0,0,498
96,2,0,0,498
97,2,0,0,498
98,2,0,0,498
99,2,0,0,498
100,2,0,0,498
101,2,0,0,498
102,2,0,0,498
103,2,0,0,498
104,2,0,0,498
105,2,0,0,498
106,2,0,0,498
107,2,0,0,498
108,2,0,0,498
109,2,0,0,498
110,2,0,0,498
111,2,0,0,498
112,2,0,0,498
113,2,0,0,498
114,2,0,0,498
115,2,0,0,498
116,2,0,0,498
117,2,0,0,498
118,2,0,0,498
119,2,0,0,498
120,2,0,0,498
121,2,0,0,498
122,2,0,0,498
123,2,0,0,498
124,2,0,0,498
125,2,0,0,498
126,2,0,0,498
127,2,0,0,498
128,2,0,0,498
129,2,0,0,498
130,2,0,0,498
131,2,0,0,498
132,2,0,0,498
133,2,0,0,498
134,2,0,0,498
135,2,0,0,498
136,2,0,0,498
137,2,0,0,498
138,2,0,0,498
139,2,0,0,498
140,2,0,0,498
141,2,0,0,498
142,2,0,0,498
143,2,0,0,498
144,2,0,0,498
145,2,0,0,498
146,2,0,0,498
147,2,0,0,498
148,2,0,0,498
149,2,0,0,498
150,2,0,0,498
151,2,0,0,498
152,2,0,0,498
153,2,0,0,498
154,2,0,0,498
155,2,0,0,498
156,2,0,0,498
157,2,0,0,498
158,2,0,0,498
159,2,0,0,498
160,2,0,0,498
161,2,0,0,498
162,2,0,0,498
163,2,0,0,498
164,2,0,0,498
165,2,0,0,498
166,2,0,0,498
167,2,0,0,498
168,2,0,0,498
169,2,0,0,498
170,2,0,0,498
171,2,0,0,498
172,2,0,0,498
173,2,0,0,498
174,2,0,0,498
175,2,0,0,498
176,2,0,0,498
177,2,0,0,498
178,2,0,0,498
179,2,0,0,498
180,2,0,0,498
181,2,0,0,498
182,2,0,0,498
183,2,0,0,498
184,2,0,0,498
185,2,0,0,498
186,2,0,0,498
187,2,0,0,498
188,2,0,0,498
189,2,0,0,498
190,2,0,0,498
191,2,0,0,498
192,2,0,0,498
193,2,0,0,498
194,2,0,0,498
195,2,0,0,498
196,2,0,0,498
197,2,0,0,498
198,2,0,0,498
199,2,0,0,498
200,2,0,0,498
201,2,0,0,498
202,2,0,0,498
203,2,0,0,498
204,2,0,0,498
205,2,0,0,498
206,2,0,0,498
207,2,0,0,498
208,2,0,0,498
209,2,0,0,498
210,2,0,0,498
211,2,0,0,498
212,2,0,0,498
213,2,0,0,498
214,2,0,0,498
215,2,0,0,498
216,2,0,0,498
217,2,0,0,498
218,2,0,0,498
219,2,0,0,498
220,2,0,0,498
221,2,0,0,498
222,2,0,0,498
223,2,0,0,498
224,2,0,0,498
225,2,0,0,498
226,2,0,0,498
227,2,0,0,498
228,2,0,0,498
229,2,0,0,498
230,2,0,0,498
231,2,0,0,498
232,2,0,0,498
233,2,0,0,498
234,2,0,0,498
235,2,0,0,498
236,2,0,0,498
237,2,0,0,498
238,2,0,0,498
239,2,0,0,498
240,2,0,0,498
241,2,0,0,498
242,2,0,0,498
243,2,0,0,498
244,2,0,0,498
245,2,0,0,498
246,2,0,0,498
247,2,0,0,498
248,2,0,0,498
249,2,0,0,498
250,2,0,0,498
251,2,0,0,498
252,2,0,0,498
253,2,0,0,498
254,2,0,0,498
255,2,0,0,498
256,2,0,0,498
257,2,0,0,498
258,2,0,0,498
259,2,0,0,498
260,2,0,0,498
261,2,0,0,498
262,2,0,0,498
263,2,0,0,498
264,2,0,0,498
265,2,0,0,498
266,2,0,0,498
267,2,0,0,498
268,2,0,0,498
269,2,0,0,498
270,2,0,0,498
271,2,0,0,498
272,2,0,0,498
273,2,0,0,498
274,2,0,0,498
275,2,0,0,498
276,2,0,0,498
277,2,0,0,498
278,2,0,0,498
279,2,0,0,498
280,2,0,0,498
281,2,0,0,498
282,2,0,0,498
283,2,0,0,498
284,2,0,0,498
285,2,0,0,498
286,2,0,0,498
287,2,0,0,498
288,2,0,0,498
289,2,0,0,498
290,2,0,0,498
291,2,0,0,498
292,2,0,0,498
293,2,0,0,498
294,2,0,0,498
295,2,0,0,498
296,2,0,0,498
297,2,0,0,498
298,2,0,0,498
299,2,0,0,498
300,2,0,0,498
301,2,0,0,498
302,2,0,0,498
303,2,0,0,498
304,2,0,0,498
305,2,0,0,498
306,2,0,0,498
307,2,0,0,498
308,2,0,0,498
309,2,0,0,498
310,2,0,0,498
311,2,0,0,498
312,2,0,0,498
313,2,0,0,498
314,2,0,0,498
315,2,0,0,498
316,2,0,0,498
317,2,0,0,498
318,2,0,0,498
319,2,0,0,498
320,2,0,0,498
321,2,0,0,498
322,2,0,0,498
323,2,0,0,498
324,2,0,0,498
325,2,0,0,498
326,2,0,0,498
327,2,0,0,498
328,2,0,0,498
329,2,0,0,498
330,2,0,0,498
331,2,0,0,498
332,2,0,0,498
333,2,0,0,498
334,2,0,0,498
335,2,0,0,498
336,2,0,0,498
337,2,0,0,498
338,2,0,0,498
339,2,0,0,498
340,2,0,0,498
341,2,0,0,498
342,2,0,0,498
343,2,0,0,498
344,2,0,0,498
345,2,0,0,498
346,2,0,0,498
347,2,0,0,498
348,2,0,0,498
349,2,0,0,498
350,2,0,0,498
351,2,0,0,498
352,2,0,0,498
353,2,0,0,498
354,2,0,0,498
355,2,0,0,498
356,2,0,0,498
357,2,0,0,498
358,2,0,0,498
359,2,0,0,498
360,2,0,0,498
361,2,0,0,498
362,2,0,0,498
363,2,0,0,498
364,2,0,0,498
365,2,0,0,498
