day,Cumulative_None,Cumulative_Infected,Cumulative_Quarantined,Cumulative_Recovered
0,218,32,0,0
1,57,109,84,0
2,4,98,148,0
3,1,64,185,0
4,0,38,212,0
5,0,24,226,0
6,0,18,232,0
7,0,8,242,0
8,0,4,246,0
9,0,2,164,84
10,0,0,102,148
11,0,0,65,185
12,0,0,38,212
13,0,0,24,226
14,0,0,18,232
15,0,0,8,242
16,0,0,4,246
17,0,0,2,248
18,0,0,0,250
19,0,0,0,250
20,0,0,0,250
21,0,0,0,250
22,0,0,0,250
23,0,0,0,250
24,0,0,0,250
25,0,0,0,250
26,0,0,0,250
27,0,0,0,250
28,0,0,0,250
29,0,0,0,250
30,0,0,0,250
31,0,0,0,250
32,0,0,0,250
33,0,0,0,250
34,0,0,0,250
35,0,0,0,250
36,0,0,0,250
37,0,0,0,250
38,0,0,0,250
39,0,0,0,250
40,0,0,0,250
41,0,0,0,250
42,0,0,0,250
43,0,0,0,250
44,0,0,0,250
45,0,0,0,250
46,0,0,0,250
47,0,0,0,250
48,0,0,0,250
49,0,0,0,250
50,0,0,0,250
51,0,0,0,250
52,0,0,0,250
53,0,0,0,250
54,0,0,0,250
55,0,0,0,250
56,0,0,0,250
57,0,0,0,250
58,0,0,0,250
59,0,0,0,250
60,0,0,0,250
61,0,0,0,250
62,0,0,0,250
63,0,0,0,250
64,0,0,0,250
65,0,0,0,250
66,0,0,0,250
67,0,0,0,250
68,0,0,0,250
69,0,0,0,250
70,0,0,0,250
71,0,0,0,250
72,0,0,0,250
73,0,0,0,250
74,0,0,0,250
75,0,0,0,250
76,0,0,0,250
77,0,0,0,250
78,0,0,0,250
79,0,0,0,250
80,0,0,0,250
81,0,0,0,250
82,0,0,0,250
83,0,0,0,250
84,0,0,0,250
85,0,0,0,250
86,0,0,0,250
87,0,0,0,250
88,0,0,0,250
89,0,0,0,250
90,0,0,0,250
91,0,0,0,250
92,0,0,0,250
93,0,0,0,250
94,0,0,0,250
95,0,0,0,250
96,0,0,0,250
97,0,0,0,250
98,0,0,0,250
99,0,0,0,250
100,0,0,0,250
101,0,0,0,250
102,0,0,0,250
103,0,0,0,250
104,0,0,0,250
105,0,0,0,250
106,0,0,0,250
107,0,0,0,250
108,0,0,0,250
109,0,0,0,250
110,0,0,0,250
111,0,0,0,250
112,0,0,0,250
113,0,0,0,250
114,0,0,0,250
115,0,0,0,250
116,0,0,0,250
117,0,0,0,250
118,0,0,0,250
119,0,0,0,250
120,0,0,0,250
121,0,0,0,250
122,0,0,0,250
123,0,0,0,250
124,0,0,0,250
125,0,0,0,250
126,0,0,0,250
127,0,0,0,250
128,0,0,0,250
129,0,0,0,250
130,0,0,0,250
131,0,0,0,250
132,0,0,0,250
133,0,0,0,250
134,0,0,0,250
135,0,0,0,250
136,0,0,0,250
137,0,0,0,250
138,0,0,0,250
139,0,0,0,250
140,0,0,0,250
141,0,0,0,250
142,0,0,0,250
143,0,0,0,250
144,0,0,0,250
145,0,0,0,250
146,0,0,0,250
147,0,0,0,250
148,0,0,0,250
149,0,0,0,250
150,0,0,0,250
151,0,0,0,250
152,0,0,0,250
153,0,0,0,250
154,0,0,0,250
155,0,0,0,250
156,0,0,0,250
157,0,0,0,250
158,0,0,0,250
159,0,0,0,250
160,0,0,0,250
161,0,0,0,250
162,0,0,0,250
163,0,0,0,250
164,0,0,0,250
