day,Cumulative_None,Cumulative_Infected,Cumulative_Quarantined,Cumulative_Recovered
0,440,60,0,0
1,339,89,72,0
2,242,113,145,0
3,151,126,223,0
4,88,112,300,0
5,49,90,361,0
6,24,70,406,0
7,13,51,436,0
8,7,39,454,0
9,3,30,395,72
10,3,19,339,139
11,3,14,275,208
12,3,8,209,280
13,3,8,155,334
14,3,7,114,376
15,3,5,88,404
16,3,2,74,421
17,3,0,63,434
18,3,0,46,451
19,3,0,32,465
20,3,0,21,476
21,3,0,14,483
22,3,0,10,487
23,3,0,6,491
24,3,0,2,495
25,3,0,0,497
26,3,0,0,497
27,3,0,0,497
28,3,0,0,497
29,3,0,0,497
30,3,0,0,497
31,3,0,0,497
32,3,0,0,497
33,3,0,0,497
34,3,0,0,497
35,3,0,0,497
36,3,0,0,497
37,3,0,0,497
38,3,0,0,497
39,3,0,0,497
40,3,0,0,497
41,3,0,0,497
42,3,0,0,497
43,3,0,0,497
44,3,0,0,497
45,3,0,0,497
46,3,0,0,497
47,3,0,0,497
48,3,0,0,497
49,3,0,0,497
50,3,0,0,497
51,3,0,0,497
52,3,0,0,497
53,3,0,0,497
54,3,0,0,497
55,3,0,0,497
56,3,0,0,497
57,3,0,0,497
58,3,0,0,497
59,3,0,0,497
60,3,0,0,497
61,3,0,0,497
62,3,0,0,497
63,3,0,0,497
64,3,0,0,497
65,3,0,0,497
66,3,0,0,497
67,3,0,0,497
68,3,0,0,497
69,3,0,0,497
70,3,0,0,497
71,3,0,0,497
72,3,0,0,497
73,3,0,0,497
74,3,0,0,497
75,3,0,0,497
76,3,0,0,497
77,3,0,0,497
78,3,0,0,497
79,3,0,0,497
80,3,0,0,497
81,3,0,0,497
82,3,0,0,497
83,3,0,0,497
84,3,0,0,497
85,3,0,0,497
86,3,0,0,497
87,3,0,0,497
88,3,0,0,497
89,3,0,0,497
90,3,0,0,497
91,3,0,0,497
92,3,0,0,497
93,3,0,0,497
94,3,0,0,497
95,3,0,0,497
96,3,0,0,497
97,3,0,0,497
98,3,0,0,497
99,3,0,0,497
100,3,0,0,497
101,3,0,0,497
102,3,0,0,497
103,3,0,0,497
104,3,0,0,497
105,3,0,0,497
106,3,0,0,497
107,3,0,0,497
108,3,0,0,497
109,3,0,0,497
110,3,0,0,497
111,3,0,0,497
112,3,0,0,497
113,3,0,0,497
114,3,0,0,497
115,3,0,0,497
116,3,0,0,497
117,3,0,0,497
118,3,0,0,497
119,3,0,0,497
120,3,0,0,497
121,3,0,0,497
122,3,0,0,497
123,3,0,0,497
124,3,0,0,497
125,3,0,0,497
126,3,0,0,497
127,3,0,0,497
128,3,0,0,497
129,3,0,0,497
130,3,0,0,497
131,3,0,0,497
132,3,0,0,497
133,3,0,0,497
134,3,0,0,497
135,3,0,0,497
136,3,0,0,497
137,3,0,0,497
138,3,0,0,497
139,3,0,0,497
140,3,0,0,497
141,3,0,0,497
142,3,0,0,497
143,3,0,0,497
144,3,0,0,497
145,3,0,0,497
146,3,0,0,497
147,3,0,0,497
148,3,0,0,497
149,3,0,0,497
150,3,0,0,497
151,3,0,0,497
152,3,0,0,497
153,3,0,0,497
154,3,0,0,497
155,3,0,0,497
156,3,0,0,497
157,3,0,0,497
158,3,0,0,497
159,3,0,0,497
160,3,0,0,497
161,3,0,0,497
162,3,0,0,497
163,3,0,0,497
164,3,0,0,497
165,3,0,0,497
166,3,0,0,497
167,3,0,0,497
168,3,0,0,497
169,3,0,0,497
170,3,0,0,497
171,3,0,0,497
172,3,0,0,497
173,3,0,0,497
174,3,0,0,497
175,3,0,0,497
176,3,0,0,497
177,3,0,0,497
178,3,0,0,497
179,3,0,0,497
180,3,0,0,497
181,3,0,0,497
182,3,0,0,497
183,3,0,0,497
184,3,0,0,497
185,3,0,0,497
186,3,0,0,497
187,3,0,0,497
188,3,0,0,497
189,3,0,0,497
190,3,0,0,497
191,3,0,0,497
192,3,0,0,497
193,3,0,0,497
194,3,0,0,497
195,3,0,0,497
196,3,0,0,497
197,3,0,0,497
198,3,0,0,497
199,3,0,0,497
200,3,0,0,497
201,3,0,0,497
202,3,0,0,497
203,3,0,0,497
204,3,0,0,497
205,3,0,0,497
206,3,0,0,497
207,3,0,0,497
208,3,0,0,497
209,3,0,0,497
210,3,0,0,497
211,3,0,0,497
212,3,0,0,497
213,3,0,0,497
214,3,0,0,497
215,3,0,0,497
216,3,0,0,497
217,3,0,0,497
218,3,0,0,497
219,3,0,0,497
220,3,0,0,497
221,3,0,0,497
222,3,0,0,497
223,3,0,0,497
224,3,0,0,497
225,3,0,0,497
226,3,0,0,497
227,3,0,0,497
228,3,0,0,497
229,3,0,0,497
230,3,0,0,497
231,3,0,0,497
232,3,0,0,497
233,3,0,0,497
234,3,0,0,497
235,3,0,0,497
236,3,0,0,497
237,3,0,0,497
238,3,0,0,497
239,3,0,0,497
240,3,0,0,497
241,3,0,0,497
242,3,0,0,497
243,3,0,0,497
244,3,0,0,497
245,3,0,0,497
246,3,0,0,497
247,3,0,0,497
248,3,0,0,497
249,3,0,0,497
250,3,0,0,497
251,3,0,0,497
252,3,0,0,497
253,3,0,0,497
254,3,0,0,497
255,3,0,0,497
256,3,0,0,497
257,3,0,0,497
258,3,0,0,497
259,3,0,0,497
260,3,0,0,497
261,3,0,0,497
262,3,0,0,497
263,3,0,0,497
264,3,0,0,497
265,3,0,0,497
266,3,0,0,497
267,3,0,0,497
268,3,0,0,497
269,3,0,0,497
270,3,0,0,497
271,3,0,0,497
272,3,0,0,497
273,3,0,0,497
274,3,0,0,497
275,3,0,0,497
276,3,0,0,497
277,3,0,0,497
278,3,0,0,497
279,3,0,0,497
280,3,0,0,497
281,3,0,0,497
282,3,0,0,497
283,3,0,0,497
284,3,0,0,497
285,3,0,0,497
286,3,0,0,497
287,3,0,0,497
288,3,0,0,497
289,3,0,0,497
290,3,0,0,497
291,3,0,0,497
292,3,0,0,497
293,3,0,0,497
294,3,0,0,497
295,3,0,0,497
296,3,0,0,497
297,3,0,0,497
298,3,0,0,497
299,3,0,0,497
300,3,0,0,497
301,3,0,0,497
302,3,0,0,497
303,3,0,0,497
304,3,0,0,497
305,3,0,0,497
306,3,0,0,497
307,3,0,0,497
308,3,0,0,497
309,3,0,0,497
310,3,0,0,497
311,3,0,0,497
312,3,0,0,497
313,3,0,0,497
314,3,0,0,497
315,3,0,0,497
316,3,0,0,497
317,3,0,0,497
318,3,0,0,497
319,3,0,0,497
320,3,0,0,497
321,3,0,0,497
322,3,0,0,497
323,3,0,0,497
324,3,0,0,497
325,3,0,0,497
326,3,0,0,497
327,3,0,0,497
328,3,0,0,497
329,3,0,0,497
330,3,0,0,497
331,3,0,0,497
332,3,0,0,497
333,3,0,0,497
334,3,0,0,497
335,3,0,0,497
336,3,0,0,497
337,3,0,0,497
338,3,0,0,497
339,3,0,0,497
340,3,0,0,497
341,3,0,0,497
342,3,0,0,497
343,3,0,0,497
344,3,0,0,497
345,3,0,0,497
346,3,0,0,497
347,3,0,0,497
348,3,0,0,497
349,3,0,0,497
350,3,0,0,497
351,3,0,0,497
352,3,0,0,497
353,3,0,0,497
354,3,0,0,497
355,3,0,0,497
356,3,0,0,497
357,3,0,0,497
358,3,0,0,497
359,3,0,0,497
360,3,0,0,497
361,3,0,0,497
362,3,0,0,497
363,3,0,0,497
364,3,0,0,497
365,3,0,0,497
